Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,RecordTypeId,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Target_Gender__c,Buy_Type__c,Delivery_Market__c,Frequency_Cap__c,Frequency_Scope__c,Media_Code__c,Special_Product__c,Target_Age_Freeform_Entry__c
0063100000fmdL1AAI,Belgium:20160622-FR,Xaxis TV,"Dec 19, 2016","Dec 28, 2016",3000,Sing TV-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,150000,0,Externally Managed,Socio-demo,,20,,CPM,Belgium,3,Per day,Video,Xaxis TV,15-34
0063100000fmdLZAAY,Belgium:20160645-NL,Xaxis Display,"Jan 16, 2017","Jan 22, 2017",1000,Promo Januari R99 Mobile-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,333333,0,Externally Managed,Broad Reach,,3,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fmdLeAAI,Belgium:20160647-FR,Xaxis TV,"Jan 13, 2017","Feb 9, 2017",9255,Abarth 124 Spider BMS TV-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,355961.5,0,Externally Managed,Interest,BMS_2017_124_Spider,26,,CPM,Belgium,3,Per day,Video,Xaxis TV,35+
0063100000fmdLBAAY,Belgium:20160630-NL,Xaxis Audio,"Jan 16, 2017","Jan 21, 2017",3200,R99 Audio Wk 3-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Nathalie Vanderlinden,320000,0,Externally Managed,Broad Reach,,10,,CPM,Belgium,3,Per day,Radio,Xaxis Audio,
0063100000fmdLTAAY,Belgium:20160673-FR,Xaxis Display,"Jan 2, 2017","Jan 15, 2017",1883.4,Zelf Beleggen January RT & LAL-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Marie Julie Billen,376680,0,Externally Managed,Retargeting,,5,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fmdLkAAI,Belgium:20160636-NL,Xaxis Display,"Feb 6, 2017","Feb 26, 2017",2520,Aquaclean MFT RT (view Mera TV)-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,504000,0,Externally Managed,Retargeting,,5,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fmdLUAAY,Belgium:20160643-NL,Xaxis Display,"Jan 9, 2017","Jan 15, 2017",1000,Promo Jabuari Hamsteren W2-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,285714,0,Externally Managed,Socio-demo,,3.5,Female,CPM,Belgium,3,Per day,Display,Xaxis Display,18-54
0063100000fmdLMAAY,Belgium:20160660-NL,Xaxis TV,"Jan 20, 2017","Feb 13, 2017",5500,TIPO BMS TV-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,250000,0,Externally Managed,Socio-demo,,22,,CPM,Belgium,3,Per day,Video,Xaxis TV,30-65
0063100000fmdL8AAI,Belgium:20160664-FR,Xaxis Display,"Dec 22, 2016","Jan 1, 2017",999.9,Image EOY Display Interest-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,249975,0,Externally Managed,Interest,Finance,4,,CPM,Belgium,3,Per day,Display,Xaxis Display,40+
0063100000fmdLFAAY,Belgium:20160665-FR,Xaxis TV,"Jan 2, 2017","Jan 31, 2017",6249.375,Image EOY TV-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,240360.6,0,Externally Managed,Interest,Finance,26,,CPM,Belgium,3,Per day,Video,Xaxis TV,40+
0063100000fmdLEAAY,Belgium:20160659-FR,Xaxis Display,"Jan 14, 2017","Jan 31, 2017",3750,Jeep BMS Fleet HP+Billbloard Interest-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,375000,0,Externally Managed,Interest,business,10,,CPM,Belgium,3,Per day,Display,Xaxis Display,25-54
0063100000fmdLWAAY,Belgium:20160631-FR,Xaxis Audio,"Jan 9, 2017","Jan 21, 2017",3705,Ford Gamma Audio-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Frauke Van den Broeck,370500,0,Externally Managed,Broad Reach,,10,,CPM,Belgium,3,Per day,Radio,Xaxis Audio,
0063100000fmdLHAAY,Belgium:20160657-NL,Xaxis TV,"Jan 13, 2017","Feb 5, 2017",9000,Jeep BMS TV-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,409090.5,0,Externally Managed,Socio-demo,,22,,CPM,Belgium,3,Per day,Video,Xaxis TV,25-54
0063100000fmdLNAAY,Belgium:20160661-FR,Xaxis Display,"Jan 13, 2017","Feb 13, 2017",2475.5,TIPO BMS Display interest-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,618854,0,Externally Managed,Interest,Tipo_BMS,4,,CPM,Belgium,3,Per day,Display,Xaxis Display,30-65
0063100000fmdLeAAI,Belgium:20160647-NL,Xaxis TV,"Jan 13, 2017","Feb 9, 2017",9255,Abarth 124 Spider BMS TV-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,355961.5,0,Externally Managed,Interest,BMS_2017_124_Spider,26,,CPM,Belgium,3,Per day,Video,Xaxis TV,35+
0063100000fmdLYAAY,Belgium:20160644-NL,Xaxis Display,"Jan 16, 2017","Jan 22, 2017",1508.5,Promo Januari R99-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,431000,0,Externally Managed,Socio-demo,,3.5,Female,CPM,Belgium,3,Per day,Display,Xaxis Display,18-54
0063100000fmdKzAAI,Belgium:20160616-NL,Xaxis TV,"Dec 6, 2016","Dec 23, 2016",20723.76,Kerst TV-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Anna Rudakova,1036188,0,Externally Managed,Socio-demo,,20,,CPM,Belgium,3,Per day,Video,Xaxis TV,18-54
0063100000fmdLdAAI,Belgium:20160672-NL,Xaxis TV,"Jan 13, 2017","Feb 5, 2017",11700,Fiat 500 DEEZER TV-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,450000,0,Externally Managed,Interest,TRB_BE_CUST_Huawei_P9_Launch_Lifestyle,26,,CPM,Belgium,3,Per day,Video,Xaxis TV,25-54
0063100000fmdKwAAI,Belgium:20160623-NL,Xaxis TV,"Dec 6, 2016","Dec 14, 2016",5250,Glenfiddish Theater Tour-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Stephanie Trufin,262500,0,Externally Managed,Socio-demo,,20,,CPM,Belgium,3,Per day,Video,Xaxis TV,25-54
0063100000fmdL1AAI,Belgium:20160622-NL,Xaxis TV,"Dec 19, 2016","Dec 28, 2016",2000,Sing TV-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,100000,0,Externally Managed,Socio-demo,,20,,CPM,Belgium,3,Per day,Video,Xaxis TV,15-34
0063100000fmdLIAAY,Belgium:20160655-FR,Xaxis TV,"Jan 9, 2017","Feb 5, 2017",4179.508,Supradyn - Jan/Fev-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Fabienne Romanus,189977.6,0,Externally Managed,Socio-demo,,22,Female,CPM,Belgium,3,Per day,Video,Xaxis TV,35-54
0063100000fmdLKAAY,Belgium:20160626-NL,Xaxis Display,"Jan 13, 2017","Feb 12, 2017",7500,Giulia BMS HP+Billbloard-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,750000,0,Externally Managed,Socio-demo,,10,,CPM,Belgium,3,Per day,Display,Xaxis Display,30-65
0063100000fmdLqAAI,Belgium:20160638-FR,Xaxis Display,"Jan 1, 2017","Jun 30, 2017",245,Aquaclean MFT Retargeting product pages-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,49000,0,Externally Managed,Retargeting,,5,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fmdLrAAI,Belgium:20160651-NL,Xaxis TV,"Jun 19, 2017","Aug 27, 2017",12000,Canesten - Juin/Aout-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Fabienne Romanus,545454.6,0,Externally Managed,Socio-demo,,22,Female,CPM,Belgium,3,Per day,Video,Xaxis TV,25-54
0063100000fmdLnAAI,Belgium:20160653-FR,Xaxis TV,"Apr 17, 2017","May 7, 2017",4000.004,Bepanthen - Avril/Mai-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Fabienne Romanus,181818.4,0,Externally Managed,Socio-demo,,22,Female,CPM,Belgium,3,Per day,Video,Xaxis TV,25-54
0063100000fmdLQAAY,Belgium:20160650-FR,Xaxis TV,"Jan 16, 2017","Feb 19, 2017",5200,Canesten - Jan/Fev-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Fabienne Romanus,266763.6,0,Externally Managed,Socio-demo,,19.49,Female,CPM,Belgium,3,Per day,Video,Xaxis TV,25-54
0063100000fmdLdAAI,Belgium:20160672-FR,Xaxis TV,"Jan 13, 2017","Feb 5, 2017",11700,Fiat 500 DEEZER TV-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,450000,0,Externally Managed,Interest,TRB_BE_CUST_Huawei_P9_Launch_Lifestyle,26,,CPM,Belgium,3,Per day,Video,Xaxis TV,25-54
0063100000fmdLqAAI,Belgium:20160638-NL,Xaxis Display,"Jan 1, 2017","Jun 30, 2017",735,Aquaclean MFT Retargeting product pages-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,147000,0,Externally Managed,Retargeting,,5,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fmdLCAAY,Belgium:20160666-NL,Xaxis Display,"Jan 2, 2017","Jan 22, 2017",5000,BMS 2017-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Julie Schauwers,1250000,0,Externally Managed,Broad Reach,,4,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fmdLKAAY,Belgium:20160626-FR,Xaxis Display,"Jan 13, 2017","Feb 12, 2017",7500,Giulia BMS HP+Billbloard-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,750000,0,Externally Managed,Socio-demo,,10,,CPM,Belgium,3,Per day,Display,Xaxis Display,30-65
0063100000fmdLsAAI,Belgium:20160654-NL,Xaxis TV,"Sep 11, 2017","Oct 1, 2017",6000.006,Bepanthen - Sept/Oct-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Fabienne Romanus,272727.6,0,Externally Managed,Socio-demo,,22,Female,CPM,Belgium,3,Per day,Video,Xaxis TV,25-54
0063100000fmdLfAAI,Belgium:20160646-NL,Xaxis Display,"Jan 13, 2017","Feb 12, 2017",5000,Abarth 124 Spider BMS HP+Billboard Interest-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,500000,0,Externally Managed,Interest,BMS_2017_124_Spider,10,,CPM,Belgium,3,Per day,Display,Xaxis Display,35+
0063100000fmdLcAAI,Belgium:20160613-FR,Xaxis Display,"Jan 9, 2017","Jan 31, 2017",2812.5,BMS Land Rover-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Sabine Loewenstein,625000,0,Externally Managed,Interest,Automotive,4.5,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fmdLgAAI,Belgium:20160648-NL,Xaxis Display,"Jan 13, 2017","Feb 12, 2017",2500,Abarth 124 Spider BMS HP+Billboard LAL-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,208333.5,0,Externally Managed,Retargeting,,12,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fmdL9AAI,Belgium:20160628-NL,Xaxis Audio,"Jan 2, 2017","Jan 7, 2017",3200,Theme Hamsteren Audio Wk1-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Nathalie Vanderlinden,320000,0,Externally Managed,Broad Reach,,10,,CPM,Belgium,3,Per day,Radio,Xaxis Audio,
0063100000fmdLtAAI,Belgium:20160668-FR,Xaxis Display,"Mar 27, 2017","Oct 1, 2017",7400,Love nature W2 Triggers-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Lucrece de Villenfagne,1345455,0,Externally Managed,Interest,Home interior & design,5.5,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fmdL6AAI,Belgium:20160621-FR,Xaxis Display,"Dec 1, 2016","Dec 31, 2016",5814.72,Ka+ Luxembourg-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Tomo Permentier,2907360,0,Externally Managed,Broad Reach,,2,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fmdLOAAY,Belgium:20160662-FR,Xaxis Display,"Jan 13, 2017","Feb 13, 2017",4000,TIPO BMS HP+Billboard Interest-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,400000,0,Externally Managed,Interest,Tipo_BMS,10,,CPM,Belgium,3,Per day,Display,Xaxis Display,30-65
0063100000fmdL4AAI,Belgium:20160619-NL,Xaxis Display,"Dec 1, 2016","Dec 31, 2016",3000,Ka+ LAL-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Tomo Permentier,600000,0,Externally Managed,Retargeting,,5,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fmdLXAAY,Belgium:20160633-NL,Xaxis TV,"Jan 2, 2017","Jan 22, 2017",7500,Match-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Julie Schauwers,288461.5,0,Externally Managed,Interest,Automotive Travel Car Lover,26,Male,CPM,Belgium,3,Per day,Video,Xaxis TV,25-44
0063100000fmdLSAAY,Belgium:20160642-NL,Xaxis Display,"Jan 2, 2017","Jan 8, 2017",1508.5,Promo Januari Hamsteren Mobile W1-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,502833,0,Externally Managed,Broad Reach,,3,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fmdLLAAY,Belgium:20160627-NL,Xaxis Display,"Jan 13, 2017","Feb 12, 2017",3750,Giulia BMS Fleet HP+Billbloard-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,375000,0,Externally Managed,Socio-demo,,10,,CPM,Belgium,3,Per day,Display,Xaxis Display,30-65
0063100000fmdLjAAI,Belgium:20160634-FR,Xaxis TV,"Feb 6, 2017","Feb 26, 2017",6240,Aquaclean MFT Mera TV-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,240000,0,Externally Managed,Interest,News Finance Home&Garden,26,,CPM,Belgium,3,Per day,Video,Xaxis TV,
0063100000fmdLhAAI,Belgium:20160669-NL,Xaxis TV,"Jan 9, 2017","Feb 12, 2017",11462.5,Actimel 2017 TV-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Kristine Janssen,521022.5,0,Externally Managed,Socio-demo,,22,,CPM,Belgium,3,Per day,Video,Xaxis TV,25-54
0063100000fmdLJAAY,Belgium:20160625-NL,Xaxis Display,"Jan 13, 2017","Feb 12, 2017",7875,Giulia BMS IAB Stdt-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,1750000,0,Externally Managed,Socio-demo,,4.5,,CPM,Belgium,3,Per day,Display,Xaxis Display,30-65
0063100000fmdLsAAI,Belgium:20160654-FR,Xaxis TV,"Sep 11, 2017","Oct 1, 2017",4000.004,Bepanthen - Sept/Oct-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Fabienne Romanus,181818.4,0,Externally Managed,Socio-demo,,22,Female,CPM,Belgium,3,Per day,Video,Xaxis TV,25-54
0063100000fmdLlAAI,Belgium:20160667-NL,Xaxis Display,"Feb 6, 2017","Mar 12, 2017",4400,Love it clean W1 Display interest-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Lucrece de Villenfagne,977778,0,Externally Managed,Interest,Home interior & design,4.5,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fmdL4AAI,Belgium:20160619-FR,Xaxis Display,"Dec 1, 2016","Dec 31, 2016",3000,Ka+ LAL-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Tomo Permentier,600000,0,Externally Managed,Retargeting,,5,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fmdLiAAI,Belgium:20160671-FR,Xaxis Audio,"Feb 6, 2017","Feb 19, 2017",3420,Gamma Audio Fevrier-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Frauke Van den Broeck,342000,0,Externally Managed,Broad Reach,,10,,CPM,Belgium,3,Per day,Radio,Xaxis Audio,
0063100000fmdKxAAI,Belgium:20160632-FR,Xaxis TV,"Dec 19, 2016","Dec 28, 2016",2400,Sing TV Inread-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,141176.4,0,Externally Managed,Socio-demo,,17,,CPM,Belgium,3,Per day,Video,Xaxis TV,
0063100000fmdLaAAI,Belgium:20160614-FR,Xaxis TV,"Jan 9, 2017","Jan 29, 2017",6250,BMS Jaguar TV-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Sabine Loewenstein,284091,0,Externally Managed,Socio-demo,,22,,CPM,Belgium,3,Per day,Video,Xaxis TV,
0063100000fmdL8AAI,Belgium:20160664-NL,Xaxis Display,"Dec 22, 2016","Jan 1, 2017",1999.8,Image EOY Display Interest-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,499950,0,Externally Managed,Interest,Finance,4,,CPM,Belgium,3,Per day,Display,Xaxis Display,40+
0063100000fmdLGAAY,Belgium:20160624-NL,Xaxis TV,"Jan 13, 2017","Feb 5, 2017",4950,Giulia BMS TV-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,225000,0,Externally Managed,Socio-demo,,22,,CPM,Belgium,3,Per day,Video,Xaxis TV,30-65
